#Area	Non-overlapping_group
ampl607_KMT2D_CDS_45_+_KMT2D_CDS_44_+_KMT2D_CDS_43_UserDefined_(53190469)_UserDefined_(46402178)	grp0
ampl609_KMT2D_CDS_45_+_KMT2D_CDS_44_+_KMT2D_CDS_43_UserDefined_(53190469)_UserDefined_(46402178)	grp0
ampl611_KMT2D_CDS_45_+_KMT2D_CDS_44_+_KMT2D_CDS_43_UserDefined_(53190469)_UserDefined_(46402178)	grp0
ampl613_KMT2D_CDS_45_+_KMT2D_CDS_44_+_KMT2D_CDS_43_UserDefined_(53190469)_UserDefined_(46402178)	grp0
ampl615_KMT2D_CDS_45_+_KMT2D_CDS_44_+_KMT2D_CDS_43_UserDefined_(53190469)_UserDefined_(46402178)	grp0
ampl578_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl580_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl582_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl584_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl586_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl588_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl590_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl592_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
ampl594_KMT2D_CDS_42_+_41_+_40_+_39_+_38_+_37_+_36_+_35_UserDefined_(53190468)_UserDefined_(51524765)	grp0
